index,İlan Başlığı,Semt,Mahalle,Tür,Oda Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Bulunduğu Kat,Brüt Metrekare,Banyo Sayısı,Wc Sayısı,Site İçerisinde,Isıtma Tipi,Fiyat
37, SEYHAN EMLAK'DAN ÜMRANİYE ÇAKMAKTA 2+1 75 m² DAİRE,Ümraniye, Çakmak Mahallesi,Konut,2+1,5-10,13,4. Kat,100,1,1,0,Merkezi(PayÖlçer),745000
38,FATİH CD. ULTRA LÜX 6+1 OTOPARKLI DUBLEX DAİRE,Küçükçekmece, Yeşilova Mahallesi,Konut,6+1,0,3,3. Kat,260,2,1,0,KombiDoğalgaz,1750000
39, BEYLİKDÜZÜNDE METROBÜSE YAKIN CADDE ÜZERİ LÜX SATILIK DAİRE,Beylikdüzü, Yakuplu Mahallesi,Konut,1+1,0,6,Bahçe Katı,85,1,1,0,KombiDoğalgaz,239500
40, MARİN İNŞAATTAN SAADETDERE DE BU HAFTAYA ÖZEL 2+1 DAİRE FIRSATI!,Esenyurt, Saadetdere Mahallesi,Konut,2+1,2,6,2. Kat,110,1,1,0,KombiDoğalgaz,193000
41, AS EMLAK TAN 2+1 SIFIR BİNADA 2.KAT CADDE ÜZERİ  70M2 DAİRE,Üsküdar, Murat Reis Mahallesi,Konut,2+1,0,4,2. Kat,70,1,1,0,KombiDoğalgaz,750000
42, Küçükçekmece Atakent 3.Etap ta Arakat Temiz Satılık 3+1 110m2 ,Küçükçekmece, Atakent Mahallesi,Konut,3+1,11-20,9,8. Kat,132,1,1,1,Merkezi(PayÖlçer),1040000
43,Beylikdüzü Kavaklıda 5+2 Muhteşem Fırsat Villa,Beylikdüzü, Kavaklı Mahallesi,Konut,5+2,4,4,Müstakil,396,5,5,0,KombiDoğalgaz,4250000
44, Atakent Elite City'de Satılık Peyzaj Cephe 2+1 Ara Kat Daire,Küçükçekmece, Atakent Mahallesi,Konut,2+1,5-10,22,4. Kat,136,2,2,1,Merkezi(PayÖlçer),1420000
45,EYÜPSULTAN İSLAMBEY DE SATILIK 2+1 85 M2 DAİRE ,Eyüpsultan, İslambey Mahallesi,Konut,2+1,20,5,2. Kat,90,1,1,0,KombiDoğalgaz,625000
46,ŞİRİNEVLER MEYDANDA 2+1 SATILIK DAİRE ,Bahçelievler, Şirinevler Mahallesi,Konut,2+1,20,5,2. Kat,85,1,1,0,KombiDoğalgaz,330000
47, TEM AVRASYA KONUTLARI LÜKS 2+1 SATILIK DAİRE,Gaziosmanpaşa, Karayolları Mahallesi,Konut,2+1,0,18,7. Kat,77,1,1,1,Merkezi(PayÖlçer),875000
48, ESENYRUT İNCİRTEPE'DE GENİŞ AİLELER İÇİN 3+1 140M2 LÜX DAİRE,Esenyurt, Yunus Emre Mahallesi,Konut,3+1,1,5,2. Kat,150,1,1,0,KombiDoğalgaz,409000
49, ESENYURT MEYDAN'DA 2+1 115M2 2+1 ÇİFT BALKONLU LÜX DAİRE,Esenyurt, Bağlarçeşme Mahallesi,Konut,3+1,0,9,6. Kat,130,1,1,0,KombiDoğalgaz,399000
50, BAYAR CAD VE METRO İST YAKIN ÖNÜ AÇIK BALKONU KEYFİLİ 3+1 DAİRE,Kadıköy, 19 Mayıs Mahallesi,Konut,3+1,20,12,6. Kat,120,1,1,0,Merkezi(PayÖlçer),890000
51, ESENYURT ATATÜRK MH. ACİLLL SATILIK BAHÇELİ BAHÇE KATI ,Esenyurt, Atatürk Mahallesi,Konut,2+1,4,6,Bahçe Katı,130,1,1,0,KombiDoğalgaz,190000
52, ÖZ AKTAŞ'TAN ESENYURT'TA CADDE'YE KOMSU MÜTHİŞ KONUMDA 2+1 110M2,Esenyurt, Pınar Mahallesi,Konut,2+1,0,5,2. Kat,110,1,1,0,KombiDoğalgaz,315000
53,Satılık daire yeni binada,Sancaktepe, Fatih Mahallesi,Konut,3+1,1,3,1. Kat,120,2,2,0,KombiDoğalgaz,545000
54, BEYLİKDÜZÜ BAŞKENT YAPI'DAN CADDE ÜZERİ SATILIK 3+1 DAİRE,Beylikdüzü, Cumhuriyet Mahallesi,Konut,3+1,1,5,3. Kat,165,2,2,0,KombiDoğalgaz,569000
55, BEYLİKDÜZÜ BAŞKENT YAPI'DAN METROBÜSE 6DK SİTE İÇİ 1+1 DAİRE,Beylikdüzü, Cumhuriyet Mahallesi,Konut,1+1,1,13,10-20,83,1,1,0,KombiDoğalgaz,399000
56, BEYLİKDÜZÜ BAŞKENT YAPI'DAN METROBÜSE 8DK OTOPARKLI 2+1 DAİRE,Beylikdüzü, Cumhuriyet Mahallesi,Konut,2+1,1,5,3. Kat,115,2,2,0,KombiDoğalgaz,459000
