index,İlan Başlığı,Semt,Mahalle,Oda Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Bulunduğu Kat,Brüt Metrekare,Banyo Sayısı,Site İçerisinde,Isıtma Tipi,Fiyat
44, GÖZTEPE MİNİBÜS CADDEDİNE PARALEL CADDE ÜZERİNDE O  DAİRE, Kadıköy, Merdivenköy Mahallesi,2+1,0,9,7. Kat,95,2,0,MerkeziDoğalgaz,1075000
45,BEYLİKDÜZÜ YAŞAM VADİSİNE YAKIN ÇİFT BALKONLU AÇIK CEPHELİ 3+1, Beylikdüzü, Adnan Kahveci Mahallesi,3+1,4,4,2. Kat,150,2,0,KombiDoğalgaz,797500
46,BEYLİKDÜZÜ MİGROS DURAĞINA 5DK YÜRÜME İSKANLI LÜKS DİZAYNLI 3+1, Beylikdüzü, Barış Mahallesi,3+1,11-20,14,7. Kat,170,2,0,KombiDoğalgaz,970000
47,Ağaoğlu Eltes Gold Residence 20.kat Bahçesi Yanı 164m2, Ümraniye, Madenler Mahallesi,3+1,11-20,27,10-20,164,2,0,KombiDoğalgaz,1450000
48,Çekmeköy – Üsküdar Metro hattının Necip Fazıl Durağına 400 metre, Ümraniye, Necip Fazıl Mahallesi,3+1,11-20,8,1. Kat,135,2,0,KombiDoğalgaz,700000
49, MARİN İNŞAATTAN BEYLİKDÜZÜ YAKUPLUDA 3+1 MERKEZİ KONUMLU DAİRE!!, Beylikdüzü, Yakuplu Mahallesi,3+1,2,5,4. Kat,130,2,0,KombiDoğalgaz,300000
50,EMSALLERİNİN ÇOK ÇOK ÜSTÜNDE LÜX 3+1DAİREMİZ EN DİP FİYATTA SİZİN, Beylikdüzü, Cumhuriyet Mahallesi,3+1,1,8,3. Kat,130,1,0,KombiDoğalgaz,327000
51,Pendik Çarşısında 3+1 130 m2 Teraslı Satılık Daire, Pendik, Batı Mahallesi,3+1,20,4,1. Kat,130,1,0,KombiDoğalgaz,450000
52,Beylikdüzü yakuplu'da metrobüse yürüme mesafesinde 2+1 fırsatı, Beylikdüzü, Yakuplu Mahallesi,2+1,0,4,2. Kat,110,2,0,KombiDoğalgaz,489000
53,BEYLİKDÜZÜ YAKUPLU'DA METROBÜSE YÜRÜME MESAFESİNDE 3+1 FIRSATI , Beylikdüzü, Yakuplu Mahallesi,3+1,0,4,2. Kat,145,1,0,KombiDoğalgaz,639000
54,DAKİK EMLAKTAN OVAYENİCE MAH SATILIK 10.000m² BESİCİLİK ÇİFTLİĞİ, Çatalca, Ovayenice Mahallesi,6+3,5-10,2,Giriş,10000,3,0,Sobalı,4650000
55, BEYLİKDÜZÜNDE BUTİK SİTE İÇİNDE KAPALI OTOPARKLI 3+1 LÜKS DAİRE, Beylikdüzü, Kavaklı Mahallesi,3+1,0,7,5. Kat,130,1,0,KombiDoğalgaz,240000
56, TRUVA MALTPDE ELİT BÖLGE ŞOK FİYAT İŞTE FIRSAT 1.KAT 120'M2' 3+1, Maltepe, Fındıklı Mahallesi,3+1,5-10,5,1. Kat,120,1,0,KombiDoğalgaz,455000
57,GÖKTAŞ YAPI'DAN HAFTANIN FIRSATI 3+1 130 M2 İSKANLI !!!, Esenyurt, Yunus Emre Mahallesi,3+1,5-10,4,4. Kat,135,1,0,KombiDoğalgaz,395000
58,GÖKTAŞ YAPI'DAN MÜKEMMEL KONUM'DA 3+1 150 M2 SİTE İÇİ!!!, Başakşehir, Bahçeşehir 2. Kısım Mahallesi,3+1,5-10,8,Giriş,160,2,0,KombiDoğalgaz,850000
59,PRESTİJ PARK VATANDAŞLIĞA UYGUN 3+1 SATILIK DAİRE, Esenyurt, Zafer Mahallesi,3+1,2,16,4. Kat,174,2,0,Merkezi(PayÖlçer),990000
60,YENİDOĞAN MERKEZDE ASANSÖRLÜ 2. KAT OTURUMA HAZIR DAİRE, Sancaktepe, Yenidoğan Mahallesi,2+1,3,4,2. Kat,100,1,0,KombiDoğalgaz,379000
61, ESENYURT YEŞİLKENT MAH. 2+1 ARA KAT RESİDANS SATILIK DAİRE , Esenyurt, Yeşilkent Mahallesi,2+1,0,18,7. Kat,105,1,1,KombiDoğalgaz,580000
62,MİMAROBA SATILIK DENİZ MANZARALI LÜKS 4+1 TRİPLEKS VİLLA , Büyükçekmece, Mimaroba Mahallesi,4+1,5-10,3,Villa Tipi,328,2,0,KombiDoğalgaz,1350000
63,Başakşehir evvel İstanbul sitesinde satılık kelepir 4+1 daire, Başakşehir, Kayabaşı Mahallesi,4+1,4,2,1. Kat,180,3,0,YerdenIsıtma,1900000
64,NOFT YAPIDAN SATILIK ÇİFT BALKONLU KOMBİLİ ÖN CEPHE DAİRE FIRSATI, Esenyurt, Güzelyurt Mahallesi,2+1,2,6,1. Kat,110,1,0,KombiDoğalgaz,379000
65,NOFT YAPI'DAN SATILIK ÇİFT TERASLI KOMBİLİ FERAH DAİRE FIRSATI, Esenyurt, Güzelyurt Mahallesi,2+1,2,5,5. Kat,110,1,0,KombiDoğalgaz,369000
