,İlan Başlığı,Semt,Mahalle,Tür,Oda Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Bulunduğu Kat,Brüt Metrekare,Banyo Sayısı,Wc Sayısı,Site İçerisinde,Isıtma Tipi,Fiyat
343,SANCAKTEPE YENİDOĞAN CADDE ÜSTÜNDE 2+1 BALKONLU DAİRE,Sancaktepe, Merve Mahallesi,Konut,2+1,5-10,4,3. Kat,75,1,1,0,KombiDoğalgaz,325000
344,TEM'DEN CENGİZ TOPEL  CADDESİ'NE PARALEL SOKAKDA 3. KAT ÖNÜ AÇIK,Ümraniye, Esenevler Mahallesi,Konut,2+1,11-20,4,3. Kat,95,2,2,0,KombiDoğalgaz,545000
345, Bahçelievler UEFA Kupası Yakını Yatırımlık 1600 TL Kiracılı 1+1,Bahçelievler, Siyavuşpaşa Mahallesi,Konut,1+1,20,5,Bahçe Katı,65,1,1,0,IsıtmaYok,165000
346,Ada Grup'dan Site İçi Krediye Uygun 90m2 2+1 Daire,Kartal, Yunus Mahallesi,Konut,2+1,5-10,8,5. Kat,90,1,1,0,KombiDoğalgaz,499000
347,GAZİOSMANPAŞA HÜRRİYET MAHALLESİNDE SATILIK DAİRE,Gaziosmanpaşa, Hürriyet Mahallesi,Konut,2+1,20,5,Yüksek Giriş,100,1,1,0,KombiDoğalgaz,365000
348,mehmet akif mah 5 kst 5 kat satilik,Küçükçekmece, Atatürk Mahallesi,Konut,3+1,11-20,5,5. Kat,130,2,2,0,KombiDoğalgaz,300000
349,ŞİŞLİ FULYA CEVAHİR AVM YAKINI 3+1 KOMBİLİ SATILIK DAİRE,Şişli, Fulya Mahallesi,Konut,3+1,20,4,2. Kat,106,1,1,0,KombiDoğalgaz,575000
350,AKKOZA KARŞISI N LİVE SİTESİ 87M2 HAVUZLU SİTEDE ACİL 2+1,Esenyurt, Aşık Veysel Mahallesi,Konut,2+1,1,21,5. Kat,87,1,1,0,KombiDoğalgaz,680000
351,Çevik Emlaktan Bağdat Caddesine yürüme mesafesinde 240m2 Teraslı ,Kadıköy, Göztepe Mahallesi,Konut,4+2,5-10,9,9. Kat,240,3,1,0,Merkezi(PayÖlçer),4850000
352, Bahçelievler Siyavuşpaşa Satılık Bahçekatı 2+1 60 m2 ,Bahçelievler, Siyavuşpaşa Mahallesi,Konut,1+1,20,5,Bahçe Katı,60,1,1,0,IsıtmaYok,165000
353, TEM'DEN YUNUS EMRE CADDESİNİN NEZİH SOKAĞINDA 3.KAT   3+1 ,Ümraniye, Esenevler Mahallesi,Konut,3+1,11-20,5,3. Kat,115,2,1,0,KombiDoğalgaz,695000
354,BEYKENTTE FUL DENİZ VE GÖL MANZARALI 200 M2 4 ODA SALON DAİRE,Büyükçekmece, Cumhuriyet Mahallesi,Konut,4+1,20,9,8. Kat,220,1,1,0,KombiDoğalgaz,1150000
355, NEW CASTLE SATILIK 3+1 140 M2 HAVUZ GUVENLİK 3E GAYRIMENKUL,Tuzla, Yayla Mahallesi,Konut,3+1,11-20,3,2. Kat,140,2,2,1,KombiDoğalgaz,865000
356,8 DÖNÜM ORAMAN İÇİNDE TAM DONANIMLI VİLLA FORMATINDA ÇİFTLİK,Beykoz, Poyrazköy Mahallesi,Konut,6+1,11-20,2,Düz Giriş,300,3,1,0,KatKaloriferi,12950000
357,IG1967 KURTULUŞ 3+1 130 M2 MASRAFSIZ BÜYÜK DAİRE,Şişli, Bozkurt Mahallesi,Konut,3+1,20,4,4. Kat,130,1,1,0,KombiDoğalgaz,680000
358,Merkezde Ticari İmarlı Satılık Bina,Ataşehir Satılık Bina, Küçükbakkalköy Mahallesi Satılık Bina,Konut,2+1,11-20,2,Kot 2 (-2). Kat,160,0,1,0,KombiDoğalgaz,3850000
359,TURYAP ALİBEYKÖY'DEN YILDIZPARK MODERN SİTESİ SATILIK 3+1 DAİRE,Gaziosmanpaşa, Yıldıztabya Mahallesi,Konut,3+1,1,18,3. Kat,150,2,1,0,Merkezi(PayÖlçer),1025000
360, Yenibosna Fevziçakmak mh 2+1  KrediyeUygun Lüxs Daire,Bahçelievler, Yenibosna Merkez Mahallesi,Konut,2+1,20,4,3. Kat,95,1,2,0,KombiDoğalgaz,420000
361,ELMAS GAYRİMENKUL SATILIK LÜX ASANSÖRLÜ 2+1 95 m2 ARAKAT DAİRE,Gaziosmanpaşa, Karadeniz Mahallesi,Konut,2+1,0,5,Bahçe Katı,95,1,1,0,KombiDoğalgaz,440000
362,BÜYÜKÇEKMECEDE HAVUZLU SİTEDE 240 M2 TERASLI DUBLEKS DAİRE,Büyükçekmece, Cumhuriyet Mahallesi,Konut,3+2,20,3,3. Kat,240,2,1,0,KombiDoğalgaz,800000
363,İnşaat Firmasından Kaçırılmayacak Fiyatta Fırsat 3+1 Daire,Çekmeköy, Alemdağ Mahallesi,Konut,3+1,0,4,1. Kat,140,2,2,0,KombiDoğalgaz,620000
364, Referans Yapı'dan Çekmeköy Merkezde Geniş 4+1 Lüks Çatı Dubleks,Çekmeköy, Alemdağ Mahallesi,Konut,4+1,0,4,4. Kat,175,2,2,0,KombiDoğalgaz,700000
365,AKSARAY'DA SATILIK YATIRIMLIK GİRİŞ KAT DAİRE,Fatih, Aksaray Mahallesi,Konut,2+1,20,5,Yüksek Giriş,68,1,1,0,KombiDoğalgaz,390000
366, Şile Merkezde Denize Yürüme Mesafesinde Satılık 1+1 Daire,Şile, Hacı Kasım Mahallesi,Konut,1+1,2,4,Yüksek Giriş,85,1,1,0,KombiDoğalgaz,465000
367,BÜYÜKÇEKMECE AKBELDE ST. SATILIK DAİRE GÖLMANZARALI,Büyükçekmece, Murat Çeşme Mahallesi,Konut,3+1,11-20,5,5. Kat,140,1,1,0,KombiDoğalgaz,440000
368,ATAKÖY AVRUPA RESİDENCE 1+1 BOŞ ARA KAT İYİ CEPHE SATILIK DAİRE,Bakırköy, Ataköy 7-8-9-10. Kısım Mahallesi,Konut,1+1,4,16,6. Kat,77,1,1,0,Merkezi(PayÖlçer),1400000
369, GALATAPORT PROJESİNE YÜRÜME MESAFESİNDE SATILIK 2+1 YENİ DAİRE,Beyoğlu, Hacımimi Mahallesi,Konut,2+1,2,4,Kot 3 (-3). Kat,125,1,1,0,YerdenIsıtma,2300000
370, TEM'DEN ESENEVLER MAHALLESİNDE 2+1 BAHÇEKATI,Ümraniye, Esenevler Mahallesi,Konut,2+1,11-20,5,Bahçe Katı,85,1,2,0,KombiDoğalgaz,255000
371," KOZYATAĞI MERKEZ MÜKEMMEL LOKASYON SİTEDE SATILIK DAİRE 3+1,135M",Kadıköy, Kozyatağı Mahallesi,Konut,3+1,20,10,1. Kat,135,2,2,0,MerkeziDoğalgaz,890000
372," ŞİŞLİ 19 MAYIS MAH.GENİŞ BAHÇELİ KOMBİLİ SATILIK DAİRE 1+1,70M2.",Şişli, 19 Mayıs Mahallesi,Konut,1+1,20,4,Bahçe Katı,70,1,1,0,KombiDoğalgaz,525000
373,ÇATALCADA  SATILIK LÜX VİLLA,Çatalca, İzzettin Mahallesi,Konut,3+2,11-20,2,Müstakil,250,2,1,0,KombiDoğalgaz,3500000
374,Beylikduzu satilik sifir proje site ici Satilik 3+1 Daire ,Büyükçekmece, Pınartepe Mahallesi,Konut,3+1,0,5,1. Kat,155,2,2,0,KombiDoğalgaz,650000
375,GÖKTAŞ YAPI'DAN NEZİH KONUMDA 3+1 METROBÜSE YAKIN ARA KAT DAİRE!,Esenyurt, Güzelyurt Mahallesi,Konut,3+1,0,4,2. Kat,140,1,1,0,KombiDoğalgaz,320000
376,GÖKTAŞ YAPI'DAN HAFTANIN KELEPİRİ 2+1 MERKEZDE LÜKS DAİRE !!!!!!,Esenyurt, Ardıçlı Mahallesi,Konut,2+1,0,5,Yüksek Giriş,100,1,1,0,KombiDoğalgaz,145000
377,GÖKTAŞ YAPI'DAN HEM UYGUN HEM KALİTELİ 2+1DAİRE FIRSATI SİZLERLE,Esenyurt, İnönü Mahallesi,Konut,2+1,0,4,1. Kat,105,1,1,0,KombiDoğalgaz,190000
378,VADİTEPE KİPTAŞ DUBLEKS GÜNEY CEPHE 5+2 SATILIK DAİRE,Başakşehir, Bahçeşehir 1. Kısım Mahallesi,Konut,5+2,4,6,6. Kat,340,4,1,0,Merkezi(PayÖlçer),3450000
379,SARAÇ EMLAK TAN KREDİLİ YUKSEK GİRİŞ İÇİNDE KİRACISI HAZIR ,Bahçelievler, Zafer Mahallesi,Konut,2+1,11-20,4,Yüksek Giriş,75,1,1,0,KombiDoğalgaz,240000
380,Caddebostan ışıklarda Köşe binada tabela değeri yüksek konut,Kadıköy, Caddebostan Mahallesi,Konut,3+1,20,5,2. Kat,135,1,1,0,Merkezi(PayÖlçer),3300000
381,ÇEKMEKÖY MEHMET AKİF'TE SATILIK 3+1 YÜKSEK GİRİŞ BALKONLU DAİRE,Çekmeköy, Mehmet Akif Mahallesi,Konut,3+1,5-10,4,Yüksek Giriş,120,1,1,0,KombiDoğalgaz,475000
382,ANADOLU MAHALLESİNDE GENİŞ FERAH TERS DUBLEX,Arnavutköy, Anadolu Mahallesi,Konut,3+1,4,5,Yüksek Giriş,115,2,1,0,KombiDoğalgaz,290000
383, esenyurt KLASDAN kelepir dupleks daire,Esenyurt, Talatpaşa Mahallesi,Konut,3+2,5-10,5,5. Kat,140,2,2,0,KombiDoğalgaz,350000
384, GALATAPORT PROJESİNE YÜRÜME MESAFESİNDE SATILIK 2+1 YENİ DAİRE,Beyoğlu, Hacımimi Mahallesi,Konut,2+1,2,4,Kot 2 (-2). Kat,109,1,1,0,Merkezi(PayÖlçer),1800000
385,"TEPEÖREN'DE KEYİFLİ BİR MÜSTAKİL HAYAT, VILLA OLEA",Tuzla, Tepeören Mahallesi,Konut,3+1,0,2,Düz Giriş,163,3,1,0,KombiDoğalgaz,2750000
386,'VILLA OLEA' TUZLA TEPEÖREN LANSMAN FİYATLI SATIŞLAR BAŞLADI,Tuzla, Tepeören Mahallesi,Konut,4+1,0,2,Düz Giriş,163,3,1,0,KombiDoğalgaz,3050000
387,CADDE ÜZERİNDE YENİ BİNA GARAJLI,Şişli, Mecidiyeköy Mahallesi,Konut,2+1,1,6,2. Kat,87,1,1,0,KombiDoğalgaz,700000
388,EYÜPSULTANIN MERKEZİNDE 2+1 100 M2 SATILIK DAİRE ,Eyüpsultan, İslambey Mahallesi,Konut,2+1,20,5,Yüksek Giriş,110,1,1,0,KombiDoğalgaz,630000
389,"TEŞVİKİYE HÜSREV GEREDEDE ÖNÜ AÇIK, DENİZ MANZARALI 4+1",Şişli, Teşvikiye Mahallesi,Konut,4+1,20,6,6. Kat,160,1,2,0,MerkeziDoğalgaz,3500000
390,satılık tadilatlı 132 m²-3+1- 15. kat daire,Küçükçekmece, Atakent Mahallesi,Konut,3+1,11-20,16,15. Kat,140,1,2,1,KombiDoğalgaz,1085000
391,ŞEREF EMLAK SATILIK KULLANISLI DAİRE 265000,Gaziosmanpaşa, Yıldıztabya Mahallesi,Konut,1+1,5-10,4,Yüksek Giriş,70,1,1,0,KombiDoğalgaz,260000
392,EYÜPSULTAN İSLAMBEY DE SATILIK 2+1 85 M2 DAİRE ,Eyüpsultan, İslambey Mahallesi,Konut,2+1,0,5,2. Kat,85,1,1,0,KombiDoğalgaz,580000
393,CEBECi MAH SATILIK BAHCE KATI,Sultangazi, Cebeci Mahallesi,Konut,2+1,11-20,5,Bahçe Katı,95,1,1,0,KombiDoğalgaz,195000
394,"İDEALTEPE'DE, SAHİLE YAKIN , 3+1, 135 M2, KEYİFLİ BAHÇE KATI",Maltepe, İdealtepe Mahallesi,Konut,3+1,20,5,Bahçe Katı,135,1,1,0,KombiDoğalgaz,825000
395,"""""SAHIBINDEN BAĞLARBAŞINDA CADDE ÜZERİNDE 2+1 80M2 3.KAT BALKONLU",Üsküdar, Murat Reis Mahallesi,Konut,2+1,20,4,3. Kat,80,1,1,0,KombiDoğalgaz,405000
396,BEYLİKDÜZÜ SAHİLDE PANORAMİK DENİZ MANZARALI VİLLA,Beylikdüzü, Gürpınar Mahallesi,Konut,7+2,20,2,Villa Tipi,272,4,1,0,IsıtmaYok,1550000
397,Bahçelievler devlet hast arkası konak sokak,Bahçelievler, Kocasinan Merkez Mahallesi,Konut,2+1,4,5,Bahçe Katı,90,1,2,0,KombiDoğalgaz,400000
398,ÇEKMEKÖY HAMİDİYE'DE SATILIK 3+1 DUBLEX DAİRE,Çekmeköy, Hamidiye Mahallesi,Konut,3+1,5-10,4,Çatı Katı,150,1,1,0,KombiDoğalgaz,415000
399,Bahçelievler zafer Mah de yüksek giriş sıfır bina,Bahçelievler, Zafer Mahallesi,Konut,2+1,0,5,Yüksek Giriş,95,1,1,0,KombiDoğalgaz,460000
400,Esen Emlak'tan Zuhuratbaba da kombili ....,Bakırköy, Zuhuratbaba Mahallesi,Konut,2+1,20,5,Yüksek Giriş,90,1,1,0,KombiDoğalgaz,500000
401,MEYDAN EMLAKTAN ATAKENT SOYAK OLİMPİYAKENTTE SATILIK VİLLA,Küçükçekmece, Atakent Mahallesi,Konut,5+2,11-20,2,Villa Tipi,350,2,3,0,MerkeziDoğalgaz,7100000
402,EYÜPSULTAN MERKEZİNDE SATILIK 3+1 130 M2 DAİRE ,Eyüpsultan, Düğmeciler Mahallesi,Konut,3+1,20,4,1. Kat,130,1,2,0,KombiDoğalgaz,750000
403,İstanbul küçükçekmee Atakent de satılık eşyalı 5.daire  ,Küçükçekmece, Atakent Mahallesi,Konut,1+1,4,25,5. Kat,59,1,1,0,MerkeziDoğalgaz,475000
404,KOZA EMLAK'TAN 3+1 ÜSKÜDAR BAĞLARBAŞINDA SATILIK DAİRE,Üsküdar, Murat Reis Mahallesi,Konut,3+1,20,4,Yarı Bodrum,105,1,1,0,KombiDoğalgaz,450000
405,Bahçelievler devlet hastahane üst tarafı  aile binası,Bahçelievler, Kocasinan Merkez Mahallesi,Konut,2+1,11-20,3,Çatı Dubleks,128,2,3,0,KombiDoğalgaz,490000
406,OĞUZHAN CADDESİNDE ASANSÖRLÜ 3+1 120 m2 KÖŞE DAİRE,Fatih, Molla Gürani Mahallesi,Konut,3+1,20,5,3. Kat,120,1,1,0,KombiDoğalgaz,1350000
407,ÇATALCA ELBASANDA SATILIK İKİ ADET VİLLA,Çatalca, Elbasan Mahallesi,Konut,5+1,0,2,Villa Tipi,2100,2,2,0,KombiDoğalgaz,7000000
408,Çatalca Kabakçada yeni havalanına yakın lüx villa,Çatalca, Kabakça Mahallesi,Konut,3+1,1,1,Yüksek Giriş,1400,2,2,0,Klimalı,3500000
409,BULVAR İSTANBUL  DA TAPULU MUHTEŞEM MANZARALI 4+1 DAİRE,Başakşehir, Başakşehir Mahallesi,Konut,4+1,1,30,11. Kat,205,3,0,0,Merkezi(PayÖlçer),2490000
410," İstanbul Yedi Mavi, 4.5+1 316m², Deniz Manzaralı, Ultra Lüx",Zeytinburnu, Kazlıçeşme Mahallesi,Konut,4+1,0,16,4. Kat,316,4,1,0,YerdenIsıtma,19900000
411, SARIGAZİ ATATÜRK MAH.3+1 YÜKSEK  GİRİŞ  KULLANIŞLI DAİRE,Sancaktepe, Atatürk Mahallesi,Konut,3+1,5-10,4,Yüksek Giriş,135,1,1,0,KombiDoğalgaz,325000
412,ÖZGÜR İNŞAAT'TAN CEBECİ MAH'DE FERAH 2+1 105M2 ORTA KAT DAİRE,Sultangazi, Cebeci Mahallesi,Konut,2+1,11-20,5,2. Kat,105,1,1,0,KombiDoğalgaz,465000
413,ÖZGÜR İNŞAAT'TAN CEBECİ MH SIFIR CAMLARI GİRİŞ GİBİ YÜKSEK B.KAT,Sultangazi, Cebeci Mahallesi,Konut,2+1,0,5,Bahçe Katı,105,1,1,0,KombiDoğalgaz,340000
414,ÖZGÜR İNŞAAT'TAN UĞURMUMCU MAH SİTEDE LÜX 2+1 110M2 12.KAT,Sultangazi, Uğur Mumcu Mahallesi,Konut,2+1,4,13,12. Kat,110,1,1,0,KombiDoğalgaz,875000
415,KÜÇÜKÇEKMECE İNÖNÜ MAH SATILIK 2+1 GENİŞ FERAH,Küçükçekmece, İnönü Mahallesi,Konut,2+1,5-10,4,1. Kat,95,1,1,0,KombiDoğalgaz,600000
416,GOLD EMLAK'TAN EYÜP ÇIRÇIR MERKEZDE BUTİK SİTE İÇİ FIRSAT DAİRE,Eyüpsultan, Çırçır Mahallesi,Konut,2+1,0,7,3. Kat,85,1,1,0,KombiDoğalgaz,750000
417,GOLD EMLAK'TAN KARADOLAPDA FIRSAT SİTE İÇİ 5 KAT ARA KAT DAİRE,Eyüpsultan, Karadolap Mahallesi,Konut,2+1,0,10,5. Kat,95,2,1,0,Merkezi(PayÖlçer),585000
418, U.MUMCUDA ASANSÖRLÜ KABA DUBLEX 180M2 VE 2 KAT 2.Sİ BİRDEN,Sultangazi, Uğur Mumcu Mahallesi,Konut,4+2,0,5,Çatı Dubleks,190,2,2,0,KombiDoğalgaz,825000
419,YİĞİTCAN_ÖZEL DEKORLU TERAS BAHÇELİ AYRI MUTFAK+BALKONLU DAİRE,Maltepe, Zümrütevler Mahallesi,Konut,2+1,4,3,Düz Giriş,100,1,1,0,KombiDoğalgaz,298000
420,122 EVLERDE E5 METROYA ÇOK YAKIN ARA KAT FİYATLARA BAŞKA YOK !!!,Maltepe, Zümrütevler Mahallesi,Konut,2+1,5-10,4,1. Kat,90,1,1,0,KombiDoğalgaz,495000
421,Silivri Yeni Mahallede Havuzlu Site İçerisinde 3+1 Satılık Daire,Silivri, Yeni Mahallesi,Konut,3+1,5-10,6,4. Kat,145,2,1,0,Merkezi(PayÖlçer),870000
422,Silivri Yenimahalle de Krediye Uygun 125m² 3+1 Satılık Daire,Silivri, Yeni Mahallesi,Konut,3+1,20,6,3. Kat,135,1,1,0,KombiDoğalgaz,365000
423, Koru Florya Evleri'nde 5+2 Göl Manzaralı Çatı Dubleksi Daire,Bakırköy, Şenlikköy Mahallesi,Konut,5+2,5-10,6,5. Kat,420,5,1,1,MerkeziDoğalgaz,13000000
424,"Bahçeşehir Toros Villaları, Müstakil Havuz ve Bahçeli, 6+2 450m²",Başakşehir, Bahçeşehir 1. Kısım Mahallesi,Konut,6+2,11-20,3,Villa Tipi,450,4,1,0,KombiDoğalgaz,6500000
425,ÜMRANİYE ARMAĞANEVLERDE 2+1 BAHÇE KATI SATILIK SIFIR DAİRE  ,Ümraniye, Armağanevler Mahallesi,Konut,2+1,0,4,Bahçe Katı,90,1,1,0,KombiDoğalgaz,450000
426,SUR YAPI İDİLİA SATIŞ VE KİRALAMA OFİSİNDEN SATILIK 2+1 ARA KAT,Sultanbeyli, Adil Mahallesi,Konut,2+1,4,7,1. Kat,90,1,1,0,Merkezi(PayÖlçer),545000
427," Bakırköy Florya, Site İçi, Orman Manzaralı, 4+1 240m², Ultra Lüx",Bakırköy, Şenlikköy Mahallesi,Konut,4+1,4,4,1. Kat,240,3,3,0,YerdenIsıtma,9000000
428,EMİR YAPI'DAN BEYLİKDÜZÜ YAKUPLU'DA 2+1 LÜX ARA KAT DAİRE.,Beylikdüzü, Yakuplu Mahallesi,Konut,2+1,0,5,1. Kat,105,2,1,0,KombiDoğalgaz,650000
429,EMİR YAPI'DAN ÜNİVERSİTE'YE AVM'YE &ULAŞIMA YAKIN 2+1 DAİRE..,Esenyurt, Zafer Mahallesi,Konut,2+1,4,5,4. Kat,100,1,1,0,KombiDoğalgaz,353000
430,EMİR YAPI'DAN AKŞEMSETTİN MAH. ULAŞIMA YAKIN 2+1 ARA KAT DAİRE.,Esenyurt, Akşemseddin Mahallesi,Konut,2+1,4,5,2. Kat,105,1,1,0,KombiDoğalgaz,387500
431,منزل للبيع في مجمع ادم اسطنبول 4+1,Başakşehir, Kayabaşı Mahallesi,Konut,4+1,3,22,11. Kat,225,2,1,0,Merkezi(PayÖlçer),2600000
432," Pruva 34, Prestijli, Müstakil Bahçeli, Villa Tadında, 4+1 310m²",Bakırköy, Sakızağacı Mahallesi,Konut,4+1,0,16,Bahçe Katı,310,4,1,0,KombiDoğalgaz,9900000
433,"PAMA'dan ÇOK GÜZEL KONUMDA,CADDE ÜZERİ,İSKANLI 2+1 DAİRE",Pendik, Ahmet Yesevi Mahallesi,Konut,2+1,5-10,5,5. Kat,90,1,1,0,KombiDoğalgaz,328000
434,"PAMA'dan PENDİK'te HARİKA KONUMDA,KALİTELİ 3+1 KELEPİR DAİRE",Pendik, Bahçelievler Mahallesi,Konut,3+1,5-10,5,3. Kat,130,2,1,0,KombiDoğalgaz,970000
435,"PAMA'dan ORTA MAHALLEDE,MÜSTAKİL BİNADA,İSKANLI 2+1ARA KAT DAİRE",Tuzla, Orta Mahallesi,Konut,2+1,5-10,4,1. Kat,85,1,1,0,KombiDoğalgaz,330000
436,"AVRUPA EMLAK TAN MİMAR SİNAN MH 125M²3+1 METRORO,KAPALI OTOPARK",Esenler, Mimar Sinan Mahallesi,Konut,3+1,11-20,4,1. Kat,125,1,1,0,KombiDoğalgaz,919000
437, YILMAZ GAYRİMENKULDEN 4+2 200 M2 TEMİZ LÜKS DUBLEKS DAİRE...,Gaziosmanpaşa, Şemsipaşa Mahallesi,Konut,4+2,5-10,3,3. Kat,200,2,2,0,KombiDoğalgaz,850000
438," BEŞİKTAŞ GAYRETTEPEDE OTOPARKLI BİNADA 100m2, 2+1, KOMBİLİ FERAH",Beşiktaş, Gayrettepe Mahallesi,Konut,2+1,20,7,5. Kat,110,1,1,0,KombiDoğalgaz,1250000
439,3A YAPI DAN ESENYURT BEYLİKDÜZÜ SATILIK DAİRE,Esenyurt, Güzelyurt Mahallesi,Konut,2+1,5-10,15,10. Kat,110,1,1,0,KombiDoğalgaz,675000
440,3A YAPIDAN ELİT SİTE İÇİNDE SATILIK 2+1 GENİŞ DAİRE,Beylikdüzü, Adnan Kahveci Mahallesi,Konut,2+1,5-10,12,5. Kat,145,2,1,0,KombiDoğalgaz,925000
441, ÇEKMEKÖY ASANSÖRLÜ BİNADA KELEPİR NET 105 M2 2+1 ARAKAT DAİRE!,Çekmeköy, Hamidiye Mahallesi,Konut,2+1,5-10,3,1. Kat,120,2,2,0,KombiDoğalgaz,485000
442, Güngören Haznedar Mah 3+1 130m2 2.Kat Bakımlı Satılık Daire,Güngören, Haznedar Mahallesi,Konut,3+1,20,5,2. Kat,135,1,1,0,KombiDoğalgaz,750000
443,YÜZYIL'dan LÜX YAPİLI İÇİ SIFIRLANMIŞ 2+1 85 m2 DAİRE,Üsküdar, Mimar Sinan Mahallesi,Konut,2+1,20,4,4. Kat,85,1,1,0,KombiDoğalgaz,625000
444,+YATIRIMLIK+LEB-İ DERYA BOĞAZ MANZARALI 3+1 110m2 FIRSAT DAİRE,Üsküdar, Sultantepe Mahallesi,Konut,3+1,20,4,2. Kat,110,2,1,0,KombiDoğalgaz,2050000
445, Duru'dan İdealtepe'de 3+1 Harika Konum'da Lüx Daire Daire,Maltepe, İdealtepe Mahallesi,Konut,3+1,5-10,5,3. Kat,120,1,1,0,KombiDoğalgaz,1100000
446, BAHÇELİEVLER BÜŞRA EMLAK TAN E-5 YAKINI 4+1 SATILIK DUBLEX,Bahçelievler, Şirinevler Mahallesi,Konut,4+1,3,5,5. Kat,190,1,1,0,DoğalgazSobalı,1480000
447, YILMAZ GAYRİMENKULDEN 2+1 100 M2 KOMBİLİ TEMİZ KREDİYE UYGUN,Gaziosmanpaşa, Yeni Mahalle Mahallesi,Konut,2+1,11-20,3,3. Kat,100,1,1,0,KombiDoğalgaz,440000
448,Duru'dan İdealtepe'de 2+1 65m2 Bahçe Katında Masrafsız Daire,Maltepe, İdealtepe Mahallesi,Konut,2+1,3,4,Bahçe Katı,65,1,1,0,KombiDoğalgaz,720000
449, Mertcandan yenişehir mah havuzlu site içerisinde 6+2 vİlla,Pendik, Yenişehir Mahallesi,Konut,6+2,11-20,3,3. Kat,350,2,2,1,KombiDoğalgaz,4200000
450, Mertcandan çınardere mah site içerisinde açık balkonlu 2+1 daire,Pendik, Çınardere Mahallesi,Konut,2+1,1,10,1. Kat,105,1,1,1,KombiDoğalgaz,570000
451, Duru'dan Altıntepe'de Masrafsız Marmaraya Yakın 2+1 90 M2 Daire,Maltepe, Altıntepe Mahallesi,Konut,2+1,20,4,4. Kat,100,1,1,0,KombiDoğalgaz,665000
452,BABACAN PREMİUM FOR SALE 3+1 143 M2 TEMİZ FIRSAT DAİRE ,Esenyurt, Zafer Mahallesi,Konut,3+1,0,22,2. Kat,143,2,2,1,Merkezi(PayÖlçer),1050000
453, BEYLİKDÜZÜ YAKUPLU MAH EN NEZİH 2+1 DAİRELERİ RÜZGAR YAPIDAN !!,Beylikdüzü, Yakuplu Mahallesi,Konut,2+1,1,6,2. Kat,110,1,1,0,KombiDoğalgaz,192000
454, KOCAMUSTAFAPAŞA DENİZ MANZARALI 17 YILLIK BİNADA 3+2 DAİRE,Fatih, Koca Mustafapaşa Mahallesi,Konut,3+2,11-20,4,Çatı Dubleks,150,2,2,0,KombiDoğalgaz,1200000
455,ÇEKMEKÖY HAMİDİYEDE 1.KAT KONUMUNDA SATILIK 3+1 SATILIK DAİRE,Çekmeköy, Hamidiye Mahallesi,Konut,3+1,5-10,4,1. Kat,120,2,1,0,KombiDoğalgaz,455000
456,LÜK TRIPLEX PENT-HOUSE FOR SALE WITH PANORAMIC VIEW OF ISTANBUL.,Beykoz, Acarlar Mahallesi,Konut,8+ Oda,2,21,Çatı Katı,1200,6,1,0,YerdenIsıtma,252322731
457, AVCILAR MUSTAFA KEMAL PAŞADA 1+1 MUHTEŞEM KONUMDA SATILIK DAİRE,Avcılar, Mustafa Kemal Paşa Mahallesi,Konut,1+1,1,6,5. Kat,85,1,1,0,KombiDoğalgaz,145000
458, BEYKOZ MAHMUTŞEVKETPAŞA AYAZMA EVLERİ KÖŞE PARSEL 3 KATLI VİLLA!,Beykoz, Mahmutşevketpaşa Mahallesi,Konut,6+3,11-20,3,Villa Tipi,320,4,4,0,KombiDoğalgaz,6500000
459,PANORAMADAN FERAH CADDESİNDE 2+1 100 M2 ARAKAT SIFIR DAİRE,Üsküdar, Ferah Mahallesi,Konut,2+1,0,5,4. Kat,100,1,1,0,KombiDoğalgaz,849000
460,ÇENGELKÖYDE İSKANLI 3+1 160 M2 BAHÇE KULLANIMLI TERS DUBLEKS,Üsküdar, Küçüksu Mahallesi,Konut,3+1,0,5,Yüksek Giriş,160,2,1,0,KombiDoğalgaz,2675000
461, AVCILAR ÜNİVERSİTE MAH METROBÜSE YAKIN MASRAFSIZ SATILIK DAİRE,Avcılar, Üniversite Mahallesi,Konut,3+1,20,4,1. Kat,110,1,1,0,KombiDoğalgaz,535000
462, BEYLİKDÜZÜ CUMHURİYET MAH MERKEZİ KONUMDA ASANSÖRLÜ DAİRE,Beylikdüzü, Cumhuriyet Mahallesi,Konut,3+1,1,8,6. Kat,130,2,1,0,KombiDoğalgaz,284000
463, PENDİK ESENYALIDA ACİL SATILIK KREDİ 2+1 YÜKSEK GİRİŞ DAİRE,Pendik, Orhangazi Mahallesi,Konut,2+1,5-10,4,Yüksek Giriş,85,1,2,0,KombiDoğalgaz,240000
464," Cheapest Price, Brand New Apartment For Sale in Beylikduzu",Beylikdüzü, Cumhuriyet Mahallesi,Konut,2+1,5-10,4,Yüksek Bodrum,90,2,1,0,MerkeziDoğalgaz,210000
465, Mertcandan güllübağlar mah sıfır binada 2+1 balkonlu 90m2 daire,Pendik, Güllü Bağlar Mahallesi,Konut,2+1,0,5,5. Kat,90,1,1,0,KombiDoğalgaz,385000
466,FUL YAPILI GENİŞ FERAH WC BANYO AYRI BALKONLU 1.KAT 2+1 DAİRE,Bağcılar, Yıldıztepe Mahallesi,Konut,2+1,20,4,1. Kat,90,1,1,0,KombiDoğalgaz,279000
