,İlan Başlığı,Semt,Mahalle,Tür,Oda Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Bulunduğu Kat,Brüt Metrekare,Banyo Sayısı,Wc Sayısı,Site İçerisinde,Isıtma Tipi,Fiyat
1067,MOLLA GÜRANİ CADDESİNDE SATILIK BAKIMLI 2+1,Fatih, Molla Gürani Mahallesi,Konut,2+1,20,5,2. Kat,80,1,1,0,KombiDoğalgaz,710000
1068,Satılık kat itifaklı arakat daire,Sultangazi, Gazi Mahallesi,Konut,2+1,11-20,5,2. Kat,90,1,1,0,KombiDoğalgaz,379000
1069,GÜRPINARDA SATILIK DUBLEXS KELEPİR,Beylikdüzü, Gürpınar Mahallesi,Konut,4+1,5-10,5,Çatı Dubleks,240,2,2,0,KombiDoğalgaz,699000
1070,Sahibinden  İstanbul kağıthane 2+1 FAİZSİZ ELDEN TAKSİTLE  İLANI TAM OKU,Kağıthane, Merkez Mahallesi,Konut,2+1,0,5,2. Kat,87,1,1,0,KombiDoğalgaz,299000
1071,     EMLAK WORKS'DEN ESENYURT İNNOVİA 3'DE SATILIK DAİRE,Esenyurt, Yeşilkent Mahallesi,Konut,Stüdyo,5-10,27,8. Kat,45,1,1,1,Merkezi(PayÖlçer),275000
1072,Çanta Kılıçarslan sitesinde acil satılık 3+1,Silivri, Balaban Mahallesi,Konut,3+1,5-10,5,1. Kat,145,2,1,0,MerkeziDoğalgaz,260000
1073,SATILIK EYÜP SULTAN MAH ARAKAT,Sancaktepe, Eyüp Sultan Mahallesi,Konut,2+1,0,4,3. Kat,90,1,1,0,KombiDoğalgaz,425000
1074, ACİL SATILIK 2+1 DAİRE YUZYIL MAH.,Bağcılar, 100. Yıl Mahallesi,Konut,2+1,20,5,5. Kat,95,1,1,0,DoğalgazSobalı,370000
1075,Koç emlakta Satılık dubleks ,Sancaktepe, Fatih Mahallesi,Konut,2+1,1,4,Çatı Dubleks,110,1,1,0,KombiDoğalgaz,428000
1076,Koç emlaktan Satılık daire temiz 140 metre,Ataşehir, Ferhatpaşa Mahallesi,Konut,3+1,20,6,1. Kat,140,2,1,0,KombiDoğalgaz,338000
